sn,key_topic_id,key_topic,performance_signals_id,performance_signals,performance_signals_weightage,document_reques_id,document_request,interview_question_id,interview_question,data_point_id,data_point,assesment_criteria_id,assessment_criteria,assessment_criteria_weightage,assessment_guidelines/formula,scoring_matrix,scoring_matrix_1,scoring_matrix_2,scorecard_visualization,none,section_id,input_type,devco_id,description,default_value
86,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-86,Date of latest approved Procurement Plan (Text),,,,,,,,Archived,,Development & Construction,dd/mm/yy,admin,,
87,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-87,Forecasted Procurement Rate (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
88,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-88,Actual Procurement Rate (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
89,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-89,Forecasted Procurement Budget (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-90,Baseline Procurement Budget (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
91,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-91,Actual Procurement Budget (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
92,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-92,Vendor Database (Text),,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
93,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-93,Vendor Shortlist (Text),,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
94,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-94,Vendor Awarded (Text),,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
95,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-95,Vendor KPIs (Text) ,,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
96,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-96,Vendor Performance Database (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
97,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-97,"Efficiency of sourcing, vendor selection and approvals (Text)",,,,,,,,Archived,,Development & Construction,Text,admin,,
98,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,46.0,Sample of Tender Award Report,,,DC-DP-98,Tender return date: Planned / Actual (Text),,,,,,,,Used for Assessment,,Development & Construction,dd/mm/yy,admin,,
99,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,46.0,Sample of Tender Award Report,,,DC-DP-99,Tender Review & award time: Planned / actual (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
100,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,46.0,Sample of Tender Award Report,,,DC-DP-100,Pre-Tender Cost Estimate (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
101,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,46.0,Sample of Tender Award Report,,,DC-DP-101,Tender Performance Index (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
102,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,47.0,Procurement and Contracting Risk Register,,,DC-DP-102,Total number of claims and variations (No.),DC-AC-23,% of claims and variations processed within contractual conditions & timeframes and with alignment of internal procedures,0.2,Total number of claims and variations processed within contractual conditions & timeframes and with alignment of internal procedures / Total number of claims and variations,>70%,50-70%,<50%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
103,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,47.0,Procurement and Contracting Risk Register,,,DC-DP-103,Total number of claims and variations processed within contractual conditions & timeframes and with alignment of internal procedures (No.),DC-AC-23,% of claims and variations processed within contractual conditions & timeframes and with alignment of internal procedures,0.2,Total number of claims and variations processed within contractual conditions & timeframes and with alignment of internal procedures / Total number of claims and variations,>70%,50-70%,<50%,Used for both Assessment and Dashboard,,Development & Construction,No.,admin,,
104,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,47.0,Procurement and Contracting Risk Register,,,DC-DP-104,Total number of packages (No.),DC-AC-24,"% of packages procured with 100% complete, compliant and well-structured documentation",0.2,"Total number of packages procured with 100% complete, compliant and well-structured documentation / Total number of packages",>70%,50-70%,<50%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
105,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,47.0,Procurement and Contracting Risk Register,,,DC-DP-105,"Total number of packages procured with 100% complete, compliant and well-structured documentation (No.)",DC-AC-24,"% of packages procured with 100% complete, compliant and well-structured documentation",0.2,"Total number of packages procured with 100% complete, compliant and well-structured documentation / Total number of packages",>70%,50-70%,<50%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
106,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,48.0,List of Appointed Vendors (including due-diligence checks),,,DC-DP-106,No. of awarded contracts where vendors appointed passed full due-diligence checks (No.) ,DC-AC-25,% of awarded contracts where vendors appointed passed full due diligence checks,0.2,No. of awarded contracts where vendors appointed passed full due-diligence checks  / Total number of awarded contracts,>90%,90-85%,<85%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
107,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,48.0,List of Appointed Vendors (including due-diligence checks),,,DC-DP-107,Total number of awarded contracts (No.),DC-AC-25,% of awarded contracts where vendors appointed passed full due diligence checks,0.2,No. of awarded contracts where vendors appointed passed full due-diligence checks  / Total number of awarded contracts,>90%,90-85%,<85%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
108,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,,,DC-IQ-15,"Have any Vendors failed to deliver the work under contact, what has been done to resolve the issue and to track Vendor performance?",DC-DP-108,Rate or Procurement Plan re-submission (required quarterly) (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
109,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,,,DC-IQ-16,"What strategies are in place to catch up on the procurement schedule, can you show evidence this is working ?",DC-DP-109,High-risk procurement / contract issue identified and successfully mitigated (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
110,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,49.0,Supply Chain Risk Assessment,DC-IQ-17,What level of market intelligence has been applied to the Supply Chain Risk Assessment? Provide example,DC-DP-110,Supply Chain Risk-Market Intelligence Assessment (Text),DC-AC-26,Did the DevCo complete a Supply Chain Risk-Market Intelligence Assessment in the last quarter?,0.2,Completion of supply chain risk-market intelligence assessment,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
111,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,50.0,Current Procurement Schedule,,,DC-DP-111,Total number of procurement activities (No.),DC-AC-27,% of procurement activities executed as planned in the Annual Procurement Plan,0.3,Number of procurement activities executed as planned / Total number of procurement activities,>60%,20-60%,<20%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
112,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,50.0,Current Procurement Schedule,,,DC-DP-112,Number of procurement activities executed as planned (No.),DC-AC-27,% of procurement activities executed as planned in the Annual Procurement Plan,0.3,Number of procurement activities executed as planned / Total number of procurement activities,>60%,20-60%,<20%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,50.0,Current Procurement Schedule,,,DC-DP-113,Current Procurement Schedule (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,50.0,Current Procurement Schedule,,,DC-DP-114,Time from request to contract award (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
115,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,51.0,Sample of Signed Agreement / Awarded Contract,,,DC-DP-115,Value of Awarded Contract (No.),DC-AC-28,% of deviations in total awarded contract value with tender cost estimates ,0.3,(Value of Contract Awarded - Tender Cost Estimate) / Value of Award Contract,<20%,20-60%,>60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
116,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,51.0,Sample of Signed Agreement / Awarded Contract,,,DC-DP-116,Tender Cost Estimate (No.),DC-AC-28,% of deviations in total awarded contract value with tender cost estimates ,0.3,(Value of Contract Awarded - Tender Cost Estimate) / Value of Award Contract,<20%,20-60%,>60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
117,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,51.0,Sample of Signed Agreement / Awarded Contract,,,DC-DP-117,Contract clauses (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
118,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,51.0,Sample of Signed Agreement / Awarded Contract,,,DC-DP-118,Procurement Management Plan (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
119,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,51.0,Sample of Signed Agreement / Awarded Contract,,,DC-DP-119,Scope / design maturity (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
120,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,52.0,Sample of Supplier and Contractor Performance Report,,,DC-DP-120,"Contractor timeliness, quality and adherence contracts (No. and Text)",,,,,,,,Archived,,Development & Construction,No.,admin,,
121,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-121,Date of Letter of Award (dd/mm/yy),,,,,,,,Archived,,Development & Construction,dd/mm/yy,admin,,
122,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-122,Date of Letter of Commencement (dd/mm/yy),,,,,,,,Archived,,Development & Construction,dd/mm/yy,admin,,
123,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-123,Contract Type (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
124,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-124,Bond Value (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
125,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-125,Bond retention / release duration (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
126,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,53.0,Contract Execution Register (including Letter of Award and Letter of Commencement),,,DC-DP-126,Compliance with local content regulations / policies (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
127,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,54.0,Claims Register,,,DC-DP-127,Number of contracts with filed claims (No.),DC-AC-29,% of contracts with filed claims,0.2,Number of contracts with filed claims / Total number of awarded contracts,<20%,20-60%,>60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
128,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,54.0,Claims Register,,,DC-DP-128,Dispute rate (%),,,,,,,,Archived,,Development & Construction,%,admin,,
129,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,54.0,Claims Register,,,DC-DP-129,Claims processing cycle time (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
130,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,4.0,Change Request Register ,DC-IQ-18,Are design related CRs being requested during or after tendering phase due to identified scope gap?,DC-DP-130,No. of related CRs being requested during or after tendering phase due to identified scope gap (No.),,,,,,,,,,Development & Construction,No.,admin,,
131,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,55.0,Post Tender Clarification (PTC) Register,DC-IQ-19,"How frequently is the DevCo tendering with low LOD, how is the DevCo mitigating the additional cost factored in by the contractors due to limitations of the documentation?",DC-DP-131,Procurement cycle time (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
132,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,55.0,Post Tender Clarification (PTC) Register,DC-IQ-19,"How frequently is the DevCo tendering with low LOD, how is the DevCo mitigating the additional cost factored in by the contractors due to limitations of the documentation?",DC-DP-132,Tender pack quality (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
133,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,56.0,Payment Register,,,DC-DP-133,Processing of payment certificates and payments (Text),DC-AC-30,Are Payment Certificates and payments being processed in accordance with the Contract terms and conditions?,0.1,Processing of payment certificates and payments,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
134,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,56.0,Payment Register,,,DC-DP-134,% payment paid within contractual terms (%),,,,,,,,Used for Dashboard,,Development & Construction,%,admin,,
135,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-135,"Package type, work category, scope, contract type (Text)",,,,,,,,Archived,,Development & Construction,Text,admin,,
136,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-136,Package Float Time: Planned / Actual (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
137,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-137,Total packages (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
138,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-138,Planned Packages (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-139,Baseline Packages (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
140,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-20,Is the DevCo aware of suppliers/contractors not fulfilling service delivery compliance requirement as per contract terms (contract KPI compliance). Are there any mitigation measures in place? Provide example,DC-DP-140,Awarded Packages (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
141,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-21,"Are there any claims or disputes resulting in  financial risk, project disruption or legal escalation?  Are these resolved within contractually agreed timelines? What it the plan for resolution?",DC-DP-141,Alignment of sourcing strategies with project schedules and requirements (Text),DC-AC-31,"Are Vendor performance assessment occurring which capture  financial instability, delays, repeated quality issues in real-time?",0.1,Vendor performance assessment,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
142,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-22,"Were there procurement bottlenecks due to approval delays, bid evaluation inefficiencies, or poor planning, negatively impacting project schedules, what is being done to resolve this? Provide example",DC-DP-142,Procurement execution's key bottlenecks (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
143,DC-KT-03,Procurement,DC-PS-06,Procurement & Contracting Execution Performance,0.7,,,DC-IQ-22,"Were there procurement bottlenecks due to approval delays, bid evaluation inefficiencies, or poor planning, negatively impacting project schedules, what is being done to resolve this? Provide example",DC-DP-143,Strategies for resolving procurement execution bottlenecks (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
144,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,57.0,HSE Management Manual,DC-IQ-23,Has the DevCo observed any challenges with site compliance with the HSEMM? and what measures have been implemented. Provide example,DC-DP-144,Escalation criteria for high risk activities (Text),DC-AC-32,Does the HSE Management Manual have adequate provision for identification and escalation of high risk activities?,0.05,Provision for identification and escalation of high risk activities,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
145,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-145,HSE Risk Register Review Rate (Text),DC-AC-33,Is the rate of review of the Safety Risk Register in accordance with the HSE Management Manual?,0.02,Review rate of safety risk register,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
146,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-146,Total number of Safety Risk items (No.),DC-AC-34,% of closed Safety Risk items,0.04,Total number of closed Safety Risk items / Total number of safety risk items,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
147,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-147,Total number of closed Safety Risk items (No.),DC-AC-34,% of closed Safety Risk items,0.04,Total number of closed Safety Risk items / Total number of safety risk items,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
148,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-148,Cycle time to close Safety Risk items (in days) (No.),DC-AC-35,Average cycle time to close Safety Risk items,0.04,"To input final number
Sum (Cycle time to close safety risk items) / Total number of closed safety risk items",<7 days,7-14 days,>14 days,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
149,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-149,Cycle time to close Safety Incident (in days) (No.),DC-AC-36,Average cycle time to close Safety Incident,0.05,"To input final number. 
Sum (Cycle time to close safety incident) / Total number of closed safety incidents",<7 days,7-14 days,>14 days,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
150,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-150,Total number of closed safety incidents (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
151,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-151,Trade Most at Risk (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
152,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,58.0,HIRAC Methodology & Safety Risk Register,,,DC-DP-152,Highest Risk Work Site (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
153,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,59.0,Sample of Emergency Evacuation & Preparedness Plan (Project level),,,DC-DP-153,Planned number of Emergency Drills (No.),DC-AC-37,Is the emergency drill rate compliant with EEPP?,0.05,Compliance of emergency drill rate,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
154,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,59.0,Sample of Emergency Evacuation & Preparedness Plan (Project level),,,DC-DP-154,Actual number of Emergency Drills (No.),DC-AC-37,Is the emergency drill rate compliant with EEPP?,0.05,Compliance of emergency drill rate,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
155,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,59.0,Sample of Emergency Evacuation & Preparedness Plan (Project level),,,DC-DP-155,Recommended time to complete Emergency drills (No.),DC-AC-37,Is the emergency drill rate compliant with EEPP?,0.05,Compliance of emergency drill rate,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
156,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,59.0,Sample of Emergency Evacuation & Preparedness Plan (Project level),,,DC-DP-156,Actual Time to complete Emergency drills (No.),DC-AC-37,Is the emergency drill rate compliant with EEPP?,0.05,Compliance of emergency drill rate,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
157,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,60.0,Latest Monthly HSE Report,,,DC-DP-157,Number of planned audits (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
158,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,60.0,Latest Monthly HSE Report,,,DC-DP-158,Number of conducted audits (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
159,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,60.0,Latest Monthly HSE Report,,,DC-DP-159,Number of qualified safety personnel (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,60.0,Latest Monthly HSE Report,,,DC-DP-160,Number of Notifiable Incidents (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,60.0,Latest Monthly HSE Report,,,DC-DP-161,Number of Infringement Notices (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
162,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,61.0,Latest HSE Audit Report,,,DC-DP-162,Total number of HSE Reports Required (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
163,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,61.0,Latest HSE Audit Report,,,DC-DP-163,Total number of HSE Reports Issued (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
164,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,61.0,Latest HSE Audit Report,,,DC-DP-164,Total Safe Manhours (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
165,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,61.0,Latest HSE Audit Report,,,DC-DP-165,Total number of closed Corrective actions (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
166,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,61.0,Latest HSE Audit Report,,,DC-DP-166,Inspection Pass Rate (%),,,,,,,,Archived,,Development & Construction,%,admin,,
167,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-24,"Of the incidents / safety concerns raised, are there any that are difficult to resolve and why?",DC-DP-167,"No. of incidents resulting in fatality or severe impairment per 200,000 work hours (No.)",DC-AC-38,Fatality Rate (FR),0.15,"No. of incidents resulting in fatality or severe impairment per 200,000 work hours",0,0.001-0.0199,>0.02,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
168,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-24,"Of the incidents / safety concerns raised, are there any that are difficult to resolve and why?",DC-DP-168,"No. of incidents resulting in lost time per 200,000 work hours (No.)",DC-AC-39,Lost Time Injury Frequency Rate (LTIFR),0.1,"No. of incidents resulting in lost time per 200,000 work hours",<0.1,0.1-1.5,>1.5,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
169,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-24,"Of the incidents / safety concerns raised, are there any that are difficult to resolve and why?",DC-DP-169,"No. of recordable incidents per 200,000 work hours (No.)",DC-AC-40,Total Recordable Incident Rate (TRIR),0.1,"No. of recordable incidents per 200,000 work hours",<0.5,0.5-5,>5,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
170,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-24,"Of the incidents / safety concerns raised, are there any that are difficult to resolve and why?",DC-DP-170,"No. of near misses recorded per 200,000 work hours (No.)",DC-AC-41,Near Miss Rate,0.15,"No. of near misses recorded per 200,000 work hours",>30,0.1-30,0,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
171,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-25,What mitigation measures have been implemented as a result of incidents and safety observations raised?  How many have had mitigation measures put in place? Provide an example,DC-DP-171,"No. of safety observation recorded per 200,000 work hours (No.)",DC-AC-42,Safety Observation Rate,0.1,"No. of safety observation recorded per 200,000 work hours",>200,10-200,<10,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
172,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-25,What mitigation measures have been implemented as a result of incidents and safety observations raised?  How many have had mitigation measures put in place? Provide an example,DC-DP-172,Mitigation measures in the event of  incidents and safety observations being raised (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
173,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-25,What mitigation measures have been implemented as a result of incidents and safety observations raised?  How many have had mitigation measures put in place? Provide an example,DC-DP-173,No. of mitigations measures implemented (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
174,DC-KT-04,HSE and Welfare,DC-PS-07,HSE Compliance,0.5,,,DC-IQ-26,"Are there any recurring incidents / safety observations outside of your control? If so, please provide detail",DC-DP-174,No. of recurring incidents / safety observations outside control (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
